country,code,year,exports_pct_gdp
Nigeria,NGA,2014,17.6385
Bosnia and Herzegovina,BIH,2014,31.81227
Zimbabwe,ZWE,2014,24.21653
Mexico,MEX,2014,31.5449
Moldova,MDA,2014,33.09216
United States,USA,2014,9.34098
Gabon,GAB,2014,51.19254
Czechia,CZE,2014,83.70403
Botswana,BWA,2014,49.11778
Montenegro,MNE,2014,9.74717
Morocco,MAR,2014,22.71283
Gambia,GMB,2014,13.04318
Qatar,QAT,2014,62.62645
Bahrain,BHR,2014,109.523
Saudi Arabia,SAU,2014,46.39317
Australia,AUS,2014,16.88212
Tanzania,TZA,2014,8.51039
Iraq,IRQ,2014,37.54792
Senegal,SEN,2014,17.95734
China,CHN,2014,22.88893
Kuwait,KWT,2014,57.49265
Kyrgyzstan,KGZ,2014,16.58732
Togo,TGO,2014,43.47568
Tonga,TON,2014,3.65642
Portugal,PRT,2014,27.60749
Armenia,ARM,2014,13.46885
Hong Kong,HKG,2014,162.74571
Chile,CHL,2014,29.84931
Latvia,LVA,2014,45.97081
Saint Lucia,LCA,2014,12.38936
Germany,DEU,2014,37.60722
Albania,ALB,2014,17.61166
Brazil,BRA,2014,9.97679
Mauritius,MUS,2014,22.47772
Mozambique,MOZ,2014,33.17403
South Africa,ZAF,2014,34.75071
South Korea,KOR,2014,41.86828
Egypt,EGY,2014,10.57212
Haiti,HTI,2014,12.37848
Ecuador,ECU,2014,27.59304
Trinidad and Tobago,TTO,2014,69.26775
Bangladesh,BGD,2014,17.6459
Laos,LAO,2014,40.00036
Guyana,GUY,2014,48.4612
Lebanon,LBN,2014,7.61328
Iceland,ISL,2014,31.55297
Niger,NER,2014,18.19216
Iran,IRN,2014,20.24797
Tajikistan,TJK,2014,8.80242
North Macedonia,MKD,2014,45.19317
Poland,POL,2014,38.31062
Myanmar,MMR,2014,37.46368
Benin,BEN,2014,20.99307
Saint Kitts and Nevis,KNA,2014,12.90788
Thailand,THA,2014,60.38853
Kenya,KEN,2014,11.93093
Dominican Republic,DOM,2014,16.43839
East Timor,TLS,2014,1.45861
Kiribati,KIR,2014,49.24805
Barbados,BRB,2014,11.18631
Lesotho,LSO,2014,42.40094
Turkey,TUR,2014,20.30414
Brunei,BRN,2014,57.27456
Solomon Islands,SLB,2014,60.12818
Panama,PAN,2014,13.69654
Bulgaria,BGR,2014,50.76921
Namibia,NAM,2014,37.09415
Spain,ESP,2014,22.93965
Papua New Guinea,PNG,2014,83.87541
Ghana,GHA,2014,25.54579
Belarus,BLR,2014,47.36482
Sierra Leone,SLE,2014,43.42339
El Salvador,SLV,2014,21.38104
Guinea-Bissau,GNB,2014,27.63528
Norway,NOR,2014,28.28344
Equatorial Guinea,GNQ,2014,84.92641
Guinea,GIN,2014,37.66703
Bahamas,BHS,2014,40.53111
Italy,ITA,2014,24.38555
Sao Tome and Principe,STP,2014,4.87264
Croatia,HRV,2014,23.9433
Cote d'Ivoire,CIV,2014,37.39577
Switzerland,CHE,2014,42.50708
Finland,FIN,2014,28.34757
United Arab Emirates,ARE,2014,89.87328
Jordan,JOR,2014,23.71217
New Zealand,NZL,2014,21.53607
Kazakhstan,KAZ,2014,32.08967
Hungary,HUN,2014,77.99611
Tunisia,TUN,2014,35.4255
Chad,TCD,2014,30.1676
Uruguay,URY,2014,19.99958
Mali,MLI,2014,14.59511
Slovenia,SVN,2014,72.78881
Algeria,DZA,2014,29.49998
Slovakia,SVK,2014,81.70938
Malaysia,MYS,2014,87.82253
Burundi,BDI,2014,1.44128
Marshall Islands,MHL,2014,34.81211
Mauritania,MRT,2014,48.8583
Sri Lanka,LKA,2014,13.61733
Netherlands,NLD,2014,74.74475
Estonia,EST,2014,61.46059
Turkmenistan,TKM,2014,30.72232
Liberia,LBR,2014,48.32191
Tuvalu,TUV,2014,16.92927
Uzbekistan,UZB,2014,21.06669
Lithuania,LTU,2014,66.93767
Zambia,ZMB,2014,35.72301
Comoros,COM,2014,6.71613
Jamaica,JAM,2014,10.42571
Samoa,WSM,2014,17.51095
Costa Rica,CRI,2014,65.83615
Saint Vincent and the Grenadines,VCT,2014,11.39949
Sudan,SDN,2014,7.22725
Burkina Faso,BFA,2014,19.41291
Dominica,DMA,2014,35.60031
