snapshot_year,section,section_label,colour,exports_rm_bil,share_pct
2000,0,Food & Live Animals,#4E79A7,6.47,1.73
2000,1,Beverages & Tobacco,#A0CBE8,1.215,0.33
2000,2,Crude Materials,#F28E2B,10.288,2.76
2000,3,Mineral Fuels & Petroleum,#FFBE7D,35.903,9.62
2000,4,Animal & Vegetable Oils,#59A14F,12.937,3.47
2000,5,Chemicals,#8CD17D,14.278,3.83
2000,6,Manufactured Goods,#B6992D,25.788,6.91
2000,7,Machinery & Transport Equipment,#E15759,233.379,62.52
2000,8,Misc. Manufactured Articles,#FF9D9A,29.925,8.02
2000,9,Other Commodities,#79706E,3.088,0.83
2013,0,Food & Live Animals,#4E79A7,22.101,3.07
2013,1,Beverages & Tobacco,#A0CBE8,3.884,0.54
2013,2,Crude Materials,#F28E2B,19.492,2.71
2013,3,Mineral Fuels & Petroleum,#FFBE7D,160.348,22.27
2013,4,Animal & Vegetable Oils,#59A14F,49.019,6.81
2013,5,Chemicals,#8CD17D,51.761,7.19
2013,6,Manufactured Goods,#B6992D,67.7,9.4
2013,7,Machinery & Transport Equipment,#E15759,273.676,38.01
2013,8,Misc. Manufactured Articles,#FF9D9A,67.319,9.35
2013,9,Other Commodities,#79706E,4.693,0.65
2023,0,Food & Live Animals,#4E79A7,46.462,3.26
2023,1,Beverages & Tobacco,#A0CBE8,3.105,0.22
2023,2,Crude Materials,#F28E2B,29.662,2.08
2023,3,Mineral Fuels & Petroleum,#FFBE7D,236.034,16.55
2023,4,Animal & Vegetable Oils,#59A14F,74.888,5.25
2023,5,Chemicals,#8CD17D,106.155,7.44
2023,6,Manufactured Goods,#B6992D,127.578,8.95
2023,7,Machinery & Transport Equipment,#E15759,650.206,45.59
2023,8,Misc. Manufactured Articles,#FF9D9A,143.781,10.08
2023,9,Other Commodities,#79706E,8.327,0.58
