year,section,section_label,colour,exports_rm_bil,imports_rm_bil
2000,0,Food & Live Animals,#4E79A7,6.47,11.393
2000,1,Beverages & Tobacco,#A0CBE8,1.215,0.709
2000,2,Crude Materials,#F28E2B,10.288,7.096
2000,3,Mineral Fuels & Petroleum,#FFBE7D,35.903,14.973
2000,4,Animal & Vegetable Oils,#59A14F,12.937,0.604
2000,5,Chemicals,#8CD17D,14.278,22.371
2000,6,Manufactured Goods,#B6992D,25.788,32.596
2000,7,Machinery & Transport Equipment,#E15759,233.379,195.728
2000,8,Misc. Manufactured Articles,#FF9D9A,29.925,17.659
2000,9,Other Commodities,#79706E,3.088,8.33
2001,0,Food & Live Animals,#4E79A7,6.581,12.277
2001,1,Beverages & Tobacco,#A0CBE8,1.308,0.924
2001,2,Crude Materials,#F28E2B,7.565,6.891
2001,3,Mineral Fuels & Petroleum,#FFBE7D,32.288,14.706
2001,4,Animal & Vegetable Oils,#59A14F,12.342,0.793
2001,5,Chemicals,#8CD17D,14.318,20.704
2001,6,Manufactured Goods,#B6992D,24.114,29.297
2001,7,Machinery & Transport Equipment,#E15759,202.828,169.609
2001,8,Misc. Manufactured Articles,#FF9D9A,29.171,15.73
2001,9,Other Commodities,#79706E,3.767,9.298
2002,0,Food & Live Animals,#4E79A7,7.477,12.439
2002,1,Beverages & Tobacco,#A0CBE8,1.295,1.137
2002,2,Crude Materials,#F28E2B,8.418,6.822
2002,3,Mineral Fuels & Petroleum,#FFBE7D,30.645,14.368
2002,4,Animal & Vegetable Oils,#59A14F,17.926,1.266
2002,5,Chemicals,#8CD17D,16.669,21.761
2002,6,Manufactured Goods,#B6992D,24.845,30.319
2002,7,Machinery & Transport Equipment,#E15759,215.292,187.969
2002,8,Misc. Manufactured Articles,#FF9D9A,30.453,17.187
2002,9,Other Commodities,#79706E,4.41,9.821
2003,0,Food & Live Animals,#4E79A7,8.424,12.728
2003,1,Beverages & Tobacco,#A0CBE8,1.492,1.143
2003,2,Crude Materials,#F28E2B,10.153,7.38
2003,3,Mineral Fuels & Petroleum,#FFBE7D,40.232,17.52
2003,4,Animal & Vegetable Oils,#59A14F,24.226,1.359
2003,5,Chemicals,#8CD17D,20.55,22.764
2003,6,Manufactured Goods,#B6992D,27.982,30.48
2003,7,Machinery & Transport Equipment,#E15759,226.078,195.329
2003,8,Misc. Manufactured Articles,#FF9D9A,33.637,18.127
2003,9,Other Commodities,#79706E,5.112,9.709
2004,0,Food & Live Animals,#4E79A7,10.026,16.482
2004,1,Beverages & Tobacco,#A0CBE8,1.643,1.391
2004,2,Crude Materials,#F28E2B,12.6,10.476
2004,3,Mineral Fuels & Petroleum,#FFBE7D,55.817,25.118
2004,4,Animal & Vegetable Oils,#59A14F,26.536,2.911
2004,5,Chemicals,#8CD17D,27.081,31.786
2004,6,Manufactured Goods,#B6992D,37.069,43.317
2004,7,Machinery & Transport Equipment,#E15759,262.488,232.491
2004,8,Misc. Manufactured Articles,#FF9D9A,41.356,23.746
2004,9,Other Commodities,#79706E,6.636,11.914
2005,0,Food & Live Animals,#4E79A7,10.755,17.78
2005,1,Beverages & Tobacco,#A0CBE8,1.711,1.463
2005,2,Crude Materials,#F28E2B,14.096,10.496
2005,3,Mineral Fuels & Petroleum,#FFBE7D,71.886,34.938
