partner,exports_usd_bn,imports_usd_bn,balance_usd_bn,direction,year,region,sort_order
Singapore,48.09,31.53,16.56,Surplus,2023,East,0
"Hong Kong, China",19.7,3.34,16.36,Surplus,2023,East,1
Vietnam,11.4,6.01,5.39,Surplus,2023,East,2
Philippines,5.8,2.12,3.68,Surplus,2023,East,3
India,9.98,6.54,3.44,Surplus,2023,East,4
Japan,18.79,15.56,3.24,Surplus,2023,East,5
Thailand,12.87,11.94,0.93,Surplus,2023,East,6
"Korea, Rep.",12.25,12.1,0.16,Surplus,2023,East,7
Indonesia,11.16,13.22,-2.06,Deficit,2023,East,8
"Other Asia, nes",9.49,18.37,-8.88,Deficit,2023,East,9
China,42.15,56.71,-14.56,Deficit,2023,East,10
United States,35.46,19.53,15.93,Surplus,2023,West,11
Netherlands,7.86,1.12,6.74,Surplus,2023,West,12
Mexico,4.1,0.67,3.43,Surplus,2023,West,13
Australia,10.94,7.62,3.33,Surplus,2023,West,14
Turkey,3.84,0.61,3.23,Surplus,2023,West,15
Germany,6.7,7.21,-0.51,Deficit,2023,West,16
United Arab Emirates,3.12,5.57,-2.45,Deficit,2023,West,17
Saudi Arabia,1.5,9.57,-8.07,Deficit,2023,West,18
"Middle East, North Africa, Afghanistan & Pakistan",9.42,18.68,-9.26,Deficit,2023,West,19
