year,partner,exports_usd_bn,rank
2000,United States,20.16,1
2000,Singapore,18.05,2
2000,Japan,12.83,3
2000,"Hong Kong, China",4.44,4
2000,Thailand,3.55,5
2000,"Korea, Rep.",3.28,6
2000,China,3.03,7
2000,Vietnam,0.48,8
2001,United States,21.692,1
2001,Singapore,18.856,2
2001,Japan,12.932,3
2001,"Hong Kong, China",5.202,4
2001,Thailand,4.358,5
2001,China,4.28,6
2001,"Korea, Rep.",3.592,7
2001,Vietnam,0.616,8
2002,United States,23.224,1
2002,Singapore,19.662,2
2002,Japan,13.034,3
2002,"Hong Kong, China",5.964,4
2002,China,5.53,5
2002,Thailand,5.166,6
2002,"Korea, Rep.",3.904,7
2002,Vietnam,0.752,8
2003,United States,24.756,1
2003,Singapore,20.468,2
2003,Japan,13.136,3
2003,China,6.78,4
2003,"Hong Kong, China",6.726,5
2003,Thailand,5.974,6
2003,"Korea, Rep.",4.216,7
2003,Vietnam,0.888,8
2004,United States,26.288,1
2004,Singapore,21.274,2
2004,Japan,13.238,3
2004,China,8.03,4
2004,"Hong Kong, China",7.488,5
2004,Thailand,6.782,6
2004,"Korea, Rep.",4.528,7
2004,Vietnam,1.024,8
2005,United States,27.82,1
2005,Singapore,22.08,2
2005,Japan,13.34,3
2005,China,9.28,4
2005,"Hong Kong, China",8.25,5
2005,Thailand,7.59,6
2005,"Korea, Rep.",4.84,7
2005,Vietnam,1.16,8
2006,United States,26.052,1
2006,Singapore,22.974,2
2006,Japan,14.794,3
2006,China,12.436,4
2006,"Hong Kong, China",8.624,5
2006,Thailand,8.198,6
2006,"Korea, Rep.",5.376,7
2006,Vietnam,1.638,8
2007,United States,24.284,1
2007,Singapore,23.868,2
2007,Japan,16.248,3
2007,China,15.592,4
2007,"Hong Kong, China",8.998,5
2007,Thailand,8.806,6
2007,"Korea, Rep.",5.912,7
2007,Vietnam,2.116,8
2008,Singapore,24.762,1
2008,United States,22.516,2
2008,China,18.748,3
2008,Japan,17.702,4
2008,Thailand,9.414,5
2008,"Hong Kong, China",9.372,6
2008,"Korea, Rep.",6.448,7
2008,Vietnam,2.594,8
2009,Singapore,25.656,1
2009,China,21.904,2
2009,United States,20.748,3
2009,Japan,19.156,4
2009,Thailand,10.022,5
2009,"Hong Kong, China",9.746,6
2009,"Korea, Rep.",6.984,7
2009,Vietnam,3.072,8
2010,Singapore,26.55,1
2010,China,25.06,2
2010,Japan,20.61,3
2010,United States,18.98,4
2010,Thailand,10.63,5
2010,"Hong Kong, China",10.12,6
2010,"Korea, Rep.",7.52,7
2010,Vietnam,3.55,8
2011,Singapore,28.293,1
2011,China,26.967,2
2011,Japan,22.113,3
2011,United States,18.8,4
2011,Thailand,11.307,5
2011,"Hong Kong, China",10.05,6
2011,"Korea, Rep.",7.783,7
2011,Vietnam,3.777,8
2012,Singapore,30.037,1
2012,China,28.873,2
2012,Japan,23.617,3
2012,United States,18.62,4
2012,Thailand,11.983,5
2012,"Hong Kong, China",9.98,6
2012,"Korea, Rep.",8.047,7
2012,Vietnam,4.003,8
2013,Singapore,31.78,1
2013,China,30.78,2
2013,Japan,25.12,3
2013,United States,18.44,4
2013,Thailand,12.66,5
2013,"Hong Kong, China",9.91,6
2013,"Korea, Rep.",8.31,7
2013,Vietnam,4.23,8
2014,Singapore,29.81,1
2014,China,28.42,2
2014,Japan,22.035,3
2014,United States,18.685,4
2014,Thailand,12.03,5
2014,"Hong Kong, China",9.685,6
2014,"Korea, Rep.",7.395,7
2014,Vietnam,4.35,8
2015,Singapore,27.84,1
2015,China,26.06,2
2015,Japan,18.95,3
2015,United States,18.93,4
2015,Thailand,11.4,5
2015,"Hong Kong, China",9.46,6
2015,"Korea, Rep.",6.48,7
2015,Vietnam,4.47,8
2016,Singapore,30.147,1
2016,China,28.867,2
2016,United States,20.137,3
2016,Japan,18.447,4
2016,"Hong Kong, China",12.487,5
2016,Thailand,12.313,6
2016,"Korea, Rep.",7.147,7
2016,Vietnam,5.817,8
2017,Singapore,32.453,1
2017,China,31.673,2
2017,United States,21.343,3
2017,Japan,17.943,4
2017,"Hong Kong, China",15.513,5
2017,Thailand,13.227,6
2017,"Korea, Rep.",7.813,7
2017,Vietnam,7.163,8
2018,Singapore,34.76,1
2018,China,34.48,2
2018,United States,22.55,3
2018,"Hong Kong, China",18.54,4
2018,Japan,17.44,5
2018,Thailand,14.14,6
2018,Vietnam,8.51,7
2018,"Korea, Rep.",8.48,8
2019,China,36.18,1
2019,Singapore,34.29,2
2019,United States,24.265,3
2019,"Hong Kong, China",17.38,4
2019,Japan,16.16,5
2019,Thailand,12.465,6
2019,"Korea, Rep.",8.37,7
2019,Vietnam,7.93,8
2020,China,37.88,1
2020,Singapore,33.82,2
2020,United States,25.98,3
2020,"Hong Kong, China",16.22,4
2020,Japan,14.88,5
2020,Thailand,10.79,6
2020,"Korea, Rep.",8.26,7
2020,Vietnam,7.35,8
2021,China,39.303,1
2021,Singapore,38.577,2
2021,United States,29.14,3
2021,"Hong Kong, China",17.38,4
2021,Japan,16.183,5
2021,Thailand,11.483,6
2021,"Korea, Rep.",9.59,7
2021,Vietnam,8.7,8
2022,Singapore,43.333,1
2022,China,40.727,2
2022,United States,32.3,3
2022,"Hong Kong, China",18.54,4
2022,Japan,17.487,5
2022,Thailand,12.177,6
2022,"Korea, Rep.",10.92,7
2022,Vietnam,10.05,8
2023,Singapore,48.09,1
2023,China,42.15,2
2023,United States,35.46,3
2023,"Hong Kong, China",19.7,4
2023,Japan,18.79,5
2023,Thailand,12.87,6
2023,"Korea, Rep.",12.25,7
2023,Vietnam,11.4,8
