sector,sub_sector,value_rm_mil,share_total_pct,share_in_sector_pct,colour,x0,y0,x1,y1,w,h,short_name,cx,cy
Manufacturing,Electrical & Electronic  Products (E&E),71668.52,48.73,54.78,#534AB7,0.0,0.0,386.934,251.802,386.934,251.802,E&E Products,193.467,125.901
Manufacturing,Other Manufactures,7818.94,5.32,5.98,#534AB7,0.0,251.802,138.017,328.871,138.017,77.069,Other Mfg.,69.009,290.336
Manufacturing,"Machinery, Equipment And Parts",7221.04,4.91,5.52,#534AB7,0.0,328.871,138.017,400.0,138.017,71.129,Machinery & Equip.,69.009,364.435
Manufacturing,Manufacture Of Metal,6767.19,4.6,5.17,#534AB7,138.017,251.802,261.194,326.469,123.177,74.667,Metal Products,199.606,289.136
Manufacturing,Optical & Scientific Equipment,6656.54,4.53,5.09,#534AB7,138.017,326.469,261.194,400.0,123.177,73.531,Optical & Sci.,199.606,363.235
Manufacturing,Chemical And Chemical Products (Exclude Plastics In Non-Primary Forms),4784.77,3.25,3.66,#534AB7,261.194,251.802,353.65,322.085,92.456,70.283,Chemicals,307.422,286.943
Manufacturing,Rubber Products,1723.91,1.17,1.32,#534AB7,353.65,251.802,386.934,322.085,33.284,70.283,Rubber,370.292,286.943
Manufacturing,Transport Equipment,1602.49,1.09,1.22,#534AB7,261.194,322.085,313.286,363.921,52.092,41.836,Transport Equip.,287.24,343.003
Manufacturing,Iron And Steel Products,1377.08,0.94,1.05,#534AB7,261.194,363.921,313.286,400.0,52.092,36.079,Iron & Steel,287.24,381.961
Manufacturing,Manufacture Of Plastics,1375.85,0.94,1.05,#534AB7,313.286,322.085,351.747,370.951,38.46,48.867,Plastics,332.516,346.518
Manufacturing,"Textiles,  Apparels And Footwear",1265.22,0.86,0.97,#534AB7,351.747,322.085,386.934,370.951,35.187,48.867,Textiles,369.34,346.518
Manufacturing,Non-Metallic Mineral Products,1061.96,0.72,0.81,#534AB7,313.286,370.951,362.844,400.0,49.557,29.049,Non-Metallic,338.065,385.476
Manufacturing,Jewellery,509.18,0.35,0.39,#534AB7,362.844,370.951,386.934,400.0,24.09,29.049,Jewellery,374.889,385.476
Energy & Mining,Petroleum Products,9268.5,6.3,7.08,#D85A30,386.934,0.0,500.0,111.406,113.066,111.406,Petroleum,443.467,55.703
Energy & Mining,Liquefied Natural Gas (LNG),4512.05,3.07,51.89,#D85A30,386.934,111.406,446.067,215.208,59.133,103.802,LNG,416.501,163.307
Energy & Mining,Metalliferous Ores and Metal Scrap,1775.72,1.21,20.42,#D85A30,446.067,111.406,500.0,156.263,53.933,44.857,Metal Ores,473.034,133.834
Energy & Mining,Crude Petroleum,1632.4,1.11,18.77,#D85A30,446.067,156.263,500.0,197.413,53.933,41.15,Crude Oil,473.034,176.838
Energy & Mining,Condensates and other petroleum oil,570.72,0.39,6.56,#D85A30,446.067,197.413,489.888,215.208,43.82,17.795,Condensates,467.977,206.31
Energy & Mining,Tin,134.93,0.09,1.55,#D85A30,489.888,197.413,500.0,215.208,10.112,17.795,Tin,494.944,206.31
Agriculture & Food,Palm Oil and Palm-Based Products,5451.02,3.71,72.18,#1D9E75,386.934,215.208,500.0,280.813,113.066,65.606,Palm Oil,443.467,248.011
Agriculture & Food,Palm Oil-Based Manufactured Products,3005.42,2.04,2.3,#1D9E75,386.934,280.813,447.954,347.657,61.02,66.844,Palm Oil Mfg.,417.444,314.235
Agriculture & Food,Processed Food,2555.76,1.74,1.95,#1D9E75,447.954,280.813,500.0,347.657,52.046,66.844,Processed Food,473.977,314.235
Agriculture & Food,Paper & Pulp Products,994.83,0.68,0.76,#1D9E75,386.934,347.657,437.737,374.419,50.803,26.762,Paper & Pulp,412.336,361.038
Agriculture & Food,Wood Products,950.25,0.65,0.73,#1D9E75,386.934,374.419,437.737,400.0,50.803,25.581,Wood,412.336,387.209
Agriculture & Food,Other Agriculture,922.68,0.63,12.22,#1D9E75,437.737,347.657,472.879,383.501,35.142,35.844,Other Agri.,455.308,365.579
Agriculture & Food,Other Vegetables Oil,433.41,0.29,5.74,#1D9E75,437.737,383.501,472.879,400.0,35.142,16.499,Other Veg. Oil,455.308,391.75
Agriculture & Food,Natural Rubber,259.41,0.18,3.43,#1D9E75,472.879,347.657,486.827,373.46,13.948,25.803,Nat. Rubber,479.853,360.558
Agriculture & Food,Sawn Timber & Moulding,250.35,0.17,3.31,#1D9E75,486.827,347.657,500.0,373.46,13.173,25.803,Sawn Timber,493.414,360.558
Agriculture & Food,Beverages & Tobacco,223.66,0.15,0.17,#1D9E75,472.879,373.46,493.973,387.678,21.094,14.218,Bev. & Tobacco,483.426,380.569
Agriculture & Food,"Seafood, fresh, chilled or frozen",191.81,0.13,2.54,#1D9E75,472.879,387.678,493.973,400.0,21.094,12.322,Seafood,483.426,393.839
Agriculture & Food,Crude Fertilizers And Crude Minerals,68.62,0.05,0.79,#1D9E75,493.973,373.46,500.0,390.047,6.027,16.588,Fertilizers,496.987,381.754
Agriculture & Food,Sawlog,43.69,0.03,0.58,#1D9E75,493.973,390.047,500.0,400.0,6.027,9.953,Sawlog,496.987,395.024
