country,code,year,trade_pct_gdp,gdp_per_capita,highlight,sort_order
Hong Kong,HKG,2022,384.88113,64036.645,False,1
Slovakia,SVK,2022,204.05632,38664.906,False,2
Belgium,BEL,2022,191.17903,62561.78,False,3
Slovenia,SVN,2022,186.64708,47050.066,False,4
United Arab Emirates,ARE,2022,185.74165,70075.63,False,5
Hungary,HUN,2022,185.0002,40610.973,False,6
Netherlands,NLD,2022,184.10748,71324.04,False,7
Vietnam,VNM,2022,183.15363,12979.764,False,8
Estonia,EST,2022,175.68712,43128.633,False,9
Lithuania,LTU,2022,175.65161,46651.215,False,10
Malaysia,MYS,2022,146.4246,32129.223,True,11
