partner,year,origin_lat,origin_lon,dest_lat,dest_lon,exports_usd_bn,imports_usd_bn,balance_usd_bn,trade_type
Singapore,2023,4.21,109.45,1.35,103.82,48.09,31.53,16.56,Export-heavy
China,2023,4.21,109.45,35.86,104.19,42.15,56.71,-14.56,Import-heavy
United States,2023,4.21,109.45,37.09,-95.71,35.46,19.53,15.93,Export-heavy
"Hong Kong, China",2023,4.21,109.45,22.4,114.11,19.7,3.34,16.36,Export-heavy
Japan,2023,4.21,109.45,36.2,138.25,18.79,15.56,3.24,Export-heavy
Thailand,2023,4.21,109.45,15.87,100.99,12.87,11.94,0.93,Export-heavy
"Korea, Rep.",2023,4.21,109.45,35.91,127.77,12.25,12.1,0.16,Export-heavy
Vietnam,2023,4.21,109.45,14.06,108.28,11.4,6.01,5.39,Export-heavy
Indonesia,2023,4.21,109.45,-0.79,113.92,11.16,13.22,-2.06,Import-heavy
Australia,2023,4.21,109.45,-25.27,133.78,10.94,7.62,3.33,Export-heavy
India,2023,4.21,109.45,20.59,78.96,9.98,6.54,3.44,Export-heavy
Netherlands,2023,4.21,109.45,52.13,5.29,7.86,1.12,6.74,Export-heavy
Germany,2023,4.21,109.45,51.17,10.45,6.7,7.21,-0.51,Import-heavy
