partner,arc_id,step,lon,lat,trade_type,stroke_width,exports_usd_bn,imports_usd_bn,balance_usd_bn
Singapore,Singapore,0,109.45,4.21,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,1,109.3562,4.4246,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,2,109.2623,4.6302,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,3,109.1685,4.827,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,4,109.0747,5.0149,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,5,108.9808,5.1939,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,6,108.887,5.364,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,7,108.7932,5.5252,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,8,108.6993,5.6776,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,9,108.6055,5.821,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,10,108.5117,5.9556,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,11,108.4178,6.0812,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,12,108.324,6.198,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,13,108.2302,6.3059,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,14,108.1363,6.4049,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,15,108.0425,6.495,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,16,107.9487,6.5762,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,17,107.8548,6.6486,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,18,107.761,6.712,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,19,107.6672,6.7666,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,20,107.5733,6.8122,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,21,107.4795,6.849,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,22,107.3857,6.8769,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,23,107.2918,6.8959,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,24,107.198,6.906,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,25,107.1042,6.9072,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,26,107.0103,6.8996,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,27,106.9165,6.883,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,28,106.8227,6.8576,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,29,106.7288,6.8232,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,30,106.635,6.78,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,31,106.5412,6.7279,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,32,106.4473,6.6669,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,33,106.3535,6.597,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,34,106.2597,6.5182,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,35,106.1658,6.4306,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,36,106.072,6.334,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,37,105.9782,6.2286,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,38,105.8843,6.1142,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,39,105.7905,5.991,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,40,105.6967,5.8589,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,41,105.6028,5.7179,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,42,105.509,5.568,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,43,105.4152,5.4092,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,44,105.3213,5.2416,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,45,105.2275,5.065,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,46,105.1337,4.8796,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,47,105.0398,4.6852,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,48,104.946,4.482,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,49,104.8522,4.2699,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,50,104.7583,4.0489,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,51,104.6645,3.819,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,52,104.5707,3.5802,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,53,104.4768,3.3326,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,54,104.383,3.076,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,55,104.2892,2.8106,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,56,104.1953,2.5362,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,57,104.1015,2.253,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,58,104.0077,1.9609,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,59,103.9138,1.6599,Export-heavy,10.0,48.09,31.53,16.56
Singapore,Singapore,60,103.82,1.35,Export-heavy,10.0,48.09,31.53,16.56
China,China,0,109.45,4.21,Import-heavy,8.78,42.15,56.71,-14.56
China,China,1,109.3623,4.9997,Import-heavy,8.78,42.15,56.71,-14.56
China,China,2,109.2747,5.7806,Import-heavy,8.78,42.15,56.71,-14.56
China,China,3,109.187,6.5525,Import-heavy,8.78,42.15,56.71,-14.56
China,China,4,109.0993,7.3156,Import-heavy,8.78,42.15,56.71,-14.56
China,China,5,109.0117,8.0697,Import-heavy,8.78,42.15,56.71,-14.56
China,China,6,108.924,8.815,Import-heavy,8.78,42.15,56.71,-14.56
China,China,7,108.8363,9.5514,Import-heavy,8.78,42.15,56.71,-14.56
China,China,8,108.7487,10.2789,Import-heavy,8.78,42.15,56.71,-14.56
China,China,9,108.661,10.9975,Import-heavy,8.78,42.15,56.71,-14.56
China,China,10,108.5733,11.7072,Import-heavy,8.78,42.15,56.71,-14.56
China,China,11,108.4857,12.4081,Import-heavy,8.78,42.15,56.71,-14.56
China,China,12,108.398,13.1,Import-heavy,8.78,42.15,56.71,-14.56
China,China,13,108.3103,13.7831,Import-heavy,8.78,42.15,56.71,-14.56
China,China,14,108.2227,14.4572,Import-heavy,8.78,42.15,56.71,-14.56
China,China,15,108.135,15.1225,Import-heavy,8.78,42.15,56.71,-14.56
China,China,16,108.0473,15.7789,Import-heavy,8.78,42.15,56.71,-14.56
China,China,17,107.9597,16.4264,Import-heavy,8.78,42.15,56.71,-14.56
China,China,18,107.872,17.065,Import-heavy,8.78,42.15,56.71,-14.56
China,China,19,107.7843,17.6947,Import-heavy,8.78,42.15,56.71,-14.56
China,China,20,107.6967,18.3156,Import-heavy,8.78,42.15,56.71,-14.56
China,China,21,107.609,18.9275,Import-heavy,8.78,42.15,56.71,-14.56
China,China,22,107.5213,19.5306,Import-heavy,8.78,42.15,56.71,-14.56
China,China,23,107.4337,20.1247,Import-heavy,8.78,42.15,56.71,-14.56
China,China,24,107.346,20.71,Import-heavy,8.78,42.15,56.71,-14.56
China,China,25,107.2583,21.2864,Import-heavy,8.78,42.15,56.71,-14.56
China,China,26,107.1707,21.8539,Import-heavy,8.78,42.15,56.71,-14.56
China,China,27,107.083,22.4125,Import-heavy,8.78,42.15,56.71,-14.56
China,China,28,106.9953,22.9622,Import-heavy,8.78,42.15,56.71,-14.56
China,China,29,106.9077,23.5031,Import-heavy,8.78,42.15,56.71,-14.56
China,China,30,106.82,24.035,Import-heavy,8.78,42.15,56.71,-14.56
China,China,31,106.7323,24.5581,Import-heavy,8.78,42.15,56.71,-14.56
China,China,32,106.6447,25.0722,Import-heavy,8.78,42.15,56.71,-14.56
China,China,33,106.557,25.5775,Import-heavy,8.78,42.15,56.71,-14.56
China,China,34,106.4693,26.0739,Import-heavy,8.78,42.15,56.71,-14.56
China,China,35,106.3817,26.5614,Import-heavy,8.78,42.15,56.71,-14.56
China,China,36,106.294,27.04,Import-heavy,8.78,42.15,56.71,-14.56
China,China,37,106.2063,27.5097,Import-heavy,8.78,42.15,56.71,-14.56
China,China,38,106.1187,27.9706,Import-heavy,8.78,42.15,56.71,-14.56
China,China,39,106.031,28.4225,Import-heavy,8.78,42.15,56.71,-14.56
China,China,40,105.9433,28.8656,Import-heavy,8.78,42.15,56.71,-14.56
China,China,41,105.8557,29.2997,Import-heavy,8.78,42.15,56.71,-14.56
China,China,42,105.768,29.725,Import-heavy,8.78,42.15,56.71,-14.56
China,China,43,105.6803,30.1414,Import-heavy,8.78,42.15,56.71,-14.56
China,China,44,105.5927,30.5489,Import-heavy,8.78,42.15,56.71,-14.56
