year,partner,rank,exports_usd_bn
2000,China,7,3.03
2005,China,4,9.28
2010,China,2,25.06
2013,China,2,30.78
2015,China,2,26.06
2018,China,2,34.48
2020,China,1,37.88
2023,China,2,42.15
2000,"Hong Kong, China",4,4.44
2005,"Hong Kong, China",5,8.25
2010,"Hong Kong, China",6,10.12
2013,"Hong Kong, China",6,9.91
2015,"Hong Kong, China",6,9.46
2018,"Hong Kong, China",4,18.54
2020,"Hong Kong, China",4,16.22
2023,"Hong Kong, China",4,19.7
2000,Japan,3,12.83
2005,Japan,3,13.34
2010,Japan,3,20.61
2013,Japan,3,25.12
2015,Japan,3,18.95
2018,Japan,5,17.44
2020,Japan,5,14.88
2023,Japan,5,18.79
2000,"Korea, Rep.",6,3.28
2005,"Korea, Rep.",7,4.84
2010,"Korea, Rep.",7,7.52
2013,"Korea, Rep.",7,8.31
2015,"Korea, Rep.",7,6.48
2018,"Korea, Rep.",8,8.48
2020,"Korea, Rep.",7,8.26
2023,"Korea, Rep.",7,12.25
2000,Singapore,2,18.05
2005,Singapore,2,22.08
2010,Singapore,1,26.55
2013,Singapore,1,31.78
2015,Singapore,1,27.84
2018,Singapore,1,34.76
2020,Singapore,2,33.82
2023,Singapore,1,48.09
2000,Thailand,5,3.55
2005,Thailand,6,7.59
2010,Thailand,5,10.63
2013,Thailand,5,12.66
2015,Thailand,5,11.4
2018,Thailand,6,14.14
2020,Thailand,6,10.79
2023,Thailand,6,12.87
2000,United States,1,20.16
2005,United States,1,27.82
2010,United States,4,18.98
2013,United States,4,18.44
2015,United States,4,18.93
2018,United States,3,22.55
2020,United States,3,25.98
2023,United States,3,35.46
2000,Vietnam,8,0.48
2005,Vietnam,8,1.16
2010,Vietnam,8,3.55
2013,Vietnam,8,4.23
2015,Vietnam,8,4.47
2018,Vietnam,7,8.51
2020,Vietnam,8,7.35
2023,Vietnam,8,11.4
