year,exports_usd_bn,imports_usd_bn,balance_usd_bn,direction,abs_balance,event
1990,29.45,29.25,0.2,Surplus,0.2,
1991,34.35,36.58,-2.23,Deficit,2.23,
1992,40.77,39.79,0.98,Surplus,0.98,
1993,47.13,45.39,1.74,Surplus,1.74,
1994,58.84,59.09,-0.25,Deficit,0.25,
1995,73.78,77.05,-3.27,Deficit,3.27,
1996,78.31,77.9,0.41,Surplus,0.41,
1997,78.73,78.43,0.3,Surplus,0.3,Asian Financial Crisis
1998,73.25,57.76,15.49,Surplus,15.49,
1999,84.51,64.94,19.57,Surplus,19.57,
2000,98.23,81.96,16.27,Surplus,16.27,
2001,88.0,73.85,14.15,Surplus,14.15,
2002,93.28,86.14,7.14,Surplus,7.14,
2003,104.97,83.61,21.36,Surplus,21.36,
2004,126.64,105.16,21.48,Surplus,21.48,
2005,141.62,114.29,27.33,Surplus,27.33,
2006,160.67,131.13,29.54,Surplus,29.54,
2007,175.96,146.1,29.86,Surplus,29.86,
2008,198.7,155.66,43.04,Surplus,43.04,Global Financial Crisis
2009,157.19,123.58,33.61,Surplus,33.61,
2010,198.79,164.59,34.2,Surplus,34.2,
2011,226.99,187.57,39.42,Surplus,39.42,
2012,227.45,196.2,31.25,Surplus,31.25,
2013,228.32,205.81,22.51,Surplus,22.51,
2014,234.13,208.82,25.31,Surplus,25.31,
2015,200.21,176.17,24.04,Surplus,24.04,
2016,189.41,168.38,21.03,Surplus,21.03,
2017,217.72,194.72,23.0,Surplus,23.0,
2018,248.71,218.02,30.69,Surplus,30.69,
2019,240.21,205.03,35.18,Surplus,35.18,
2020,234.05,190.4,43.65,Surplus,43.65,COVID-19
2021,299.23,238.25,60.98,Surplus,60.98,
2022,352.19,293.94,58.25,Surplus,58.25,
2023,312.61,265.64,46.97,Surplus,46.97,
