year,value_usd_bn,metric,event
1990,29.45,Exports,
1990,29.25,Imports,
1991,34.35,Exports,
1991,36.58,Imports,
1992,40.77,Exports,
1992,39.79,Imports,
1993,47.13,Exports,
1993,45.39,Imports,
1994,58.84,Exports,
1994,59.09,Imports,
1995,73.78,Exports,
1995,77.05,Imports,
1996,78.31,Exports,
1996,77.9,Imports,
1997,78.73,Exports,Asian Financial Crisis
1997,78.43,Imports,Asian Financial Crisis
1998,73.25,Exports,
1998,57.76,Imports,
1999,84.51,Exports,
1999,64.94,Imports,
2000,98.23,Exports,
2000,81.96,Imports,
2001,88.0,Exports,
2001,73.85,Imports,
2002,93.28,Exports,
2002,86.14,Imports,
2003,104.97,Exports,
2003,83.61,Imports,
2004,126.64,Exports,
2004,105.16,Imports,
2005,141.62,Exports,
2005,114.29,Imports,
2006,160.67,Exports,
2006,131.13,Imports,
2007,175.96,Exports,
2007,146.1,Imports,
2008,198.7,Exports,Global Financial Crisis
2008,155.66,Imports,Global Financial Crisis
2009,157.19,Exports,
2009,123.58,Imports,
2010,198.79,Exports,
2010,164.59,Imports,
2011,226.99,Exports,
2011,187.57,Imports,
2012,227.45,Exports,
2012,196.2,Imports,
2013,228.32,Exports,
2013,205.81,Imports,
2014,234.13,Exports,
2014,208.82,Imports,
2015,200.21,Exports,
2015,176.17,Imports,
2016,189.41,Exports,
2016,168.38,Imports,
2017,217.72,Exports,
2017,194.72,Imports,
2018,248.71,Exports,
2018,218.02,Imports,
2019,240.21,Exports,
2019,205.03,Imports,
2020,234.05,Exports,COVID-19
2020,190.4,Imports,COVID-19
2021,299.23,Exports,
2021,238.25,Imports,
2022,352.19,Exports,
2022,293.94,Imports,
2023,312.61,Exports,
2023,265.64,Imports,
