country,code,year,trade_pct_gdp,gdp_per_capita,highlight,gdp_sqrt
Zimbabwe,ZWE,2022,55.067352,5036.761,False,70.97
Zambia,ZMB,2022,69.29732,3585.1238,False,59.88
Vietnam,VNM,2022,183.15363,12979.764,False,113.93
Vanuatu,VUT,2022,63.599613,3222.836,False,56.77
Uzbekistan,UZB,2022,62.84125,9607.562,False,98.02
Uruguay,URY,2022,61.030796,30804.703,False,175.51
United States Virgin Islands,VIR,2022,205.62929,46479.3,False,215.59
United States,USA,2022,27.31394,72679.26,False,269.59
United Kingdom,GBR,2022,69.19893,53139.152,False,230.52
United Arab Emirates,ARE,2022,185.74165,70075.63,False,264.72
Ukraine,UKR,2022,87.396515,13787.121,False,117.42
Uganda,UGA,2022,34.505302,2724.906,False,52.2
Turkmenistan,TKM,2022,37.36095,17119.574,False,130.84
Turkey,TUR,2022,79.89827,33520.812,False,183.09
Tunisia,TUN,2022,116.095795,12712.224,False,112.75
Tonga,TON,2022,70.12727,6810.61,False,82.53
Togo,TGO,2022,61.575092,2739.6882,False,52.34
Albania,ALB,2022,84.698044,19388.873,False,139.24
Thailand,THA,2022,132.85872,20762.795,False,144.09
Tanzania,TZA,2022,35.003452,3546.981,False,59.56
Tajikistan,TJK,2022,65.43551,4213.7563,False,64.91
Syria,SYR,2022,35.609467,4454.8535,False,66.74
Switzerland,CHE,2022,138.5007,82777.3,False,287.71
Sweden,SWE,2022,107.111755,63088.42,False,251.17
Sudan,SDN,2022,2.6988344,3132.0771,False,55.96
Sri Lanka,LKA,2022,46.68261,13249.065,False,115.1
Spain,ESP,2022,78.46574,46733.48,False,216.18
South Korea,KOR,2022,90.585144,53228.605,False,230.71
South Africa,ZAF,2022,64.947136,13767.497,False,117.33
Somalia,SOM,2022,90.75762,1387.5475,False,37.25
Solomon Islands,SLB,2022,74.83554,2330.103,False,48.27
Slovenia,SVN,2022,186.64708,47050.066,False,216.91
Slovakia,SVK,2022,204.05632,38664.906,False,196.63
Singapore,SGP,2022,332.34958,133571.97,False,365.47
Sierra Leone,SLE,2022,45.054214,2934.7332,False,54.17
Seychelles,SYC,2022,189.82683,27978.178,False,167.27
Serbia,SRB,2022,131.9133,24651.95,False,157.01
Senegal,SEN,2022,79.59982,4228.734,False,65.03
Saudi Arabia,SAU,2022,56.824165,67178.59,False,259.19
San Marino,SMR,2022,370.43607,70887.57,False,266.25
Samoa,WSM,2022,60.84778,6449.365,False,80.31
Rwanda,RWA,2022,61.14508,2892.4597,False,53.78
Russia,RUS,2022,42.782787,38214.496,False,195.49
Romania,ROU,2022,93.94965,39256.99,False,198.13
